{  1,08,   0,47,   0,16,   0,58,  -0,33,   0,50,   0,17,  -0,64,  -0,35,   0,17 }
{ -0,60,   2,04,   1,50,   3,95,  -0,66,   0,34,   1,38,  -0,25,   1,01,  -1,35 }
{ -2,07,  -0,97,  -0,44,   0,41,   0,00,   0,34,   0,50,   1,64,   0,99,   0,34 }
{ -0,30,   0,02,  -0,22,  -0,26,  -0,13,  -0,81,   0,28,  -0,81,  -0,26,   2,16 }
{  1,43,  -0,15,  -0,51,   0,41,  -0,37,   0,42,   0,61,  -0,38,   0,35,   0,47 }
{  0,95,   0,82,  -0,12,   0,08,  -0,55,   1,38,  -0,39,   0,08,  -0,57,  -0,34 }
{  0,23,  -1,04,  -0,41,  -0,94,   0,52,  -0,94,  -0,50,  -0,36,  -0,24,   1,10 }
{  0,87,  -0,10,  -0,49,   0,08,  -0,38,   0,91,   0,39,   0,69,   1,17,   3,64 }
{ -1,33,  -0,33,   0,31,  -1,61,  -0,56,   0,62,  -0,50,  -0,01,   0,90,  -0,46 }
{  0,81,   0,87,  -0,39,  -2,28,  -0,57,   0,47,  -1,28,  -0,44,  -1,53,  -0,13 }
{  0,69,   4,32,   6,90,   1,09,  -0,79,   2,29,  -2,27,  -1,41,  -1,82,  -1,61 }
{  0,21,   1,50,   1,55,   0,92,  -0,56,   1,37,  -0,72,   1,33,   0,08,  -0,72 }
{  0,99,   1,92,   0,11,  -0,26,  -0,76,  -0,13,  -0,72,   2,34,  -0,37,  -0,46 }
{ -0,49,   1,48,  -0,01,  -2,79,  -0,53,   0,96,  -0,28,  -0,27,  -0,64,  -0,38 }
{  1,26,   0,07,  -0,51,  -0,43,  -0,26,  -0,28,  -0,06,  -0,34,   0,81,   0,93 }
{  1,52,  -0,15,  -0,46,  -0,94,  -0,46,  -0,64,  -0,39,  -0,71,   0,53,   1,74 }
{  1,34,   0,58,  -0,48,   0,25,  -0,11,   0,68,  -0,83,  -0,33,   0,20,   1,10 }
{ -1,90,   0,07,  -0,36,   0,58,  -0,06,  -1,37,   1,27,   2,16,   0,04,  -0,55 }
{ -1,33,  -0,69,  -0,06,  -0,43,  -0,35,  -0,57,  -0,39,   0,57,  -0,51,  -1,40 }
{  1,15,   0,68,  -0,24,  -0,60,  -0,52,  -0,44,   0,28,   0,80,  -0,30,  -0,72 }
